Class,Genus,Species,Common name,Mass_kg,Max_longevity_yr,log10M,log10T
Aves,Charadrius,bicinctus,Double-banded plover,0.0594,18.3,-1.2262135550188065,1.2624510897304295
Aves,Charadrius,dubius,Little ringed plover,0.038700000000000005,13.0,-1.4122890349810886,1.1139433523068367
Aves,Charadrius,hiaticula,Common ringed plover,0.064,20.8,-1.193820026016113,1.3180633349627615
Aves,Charadrius,leschenaultii,Greater sand plover,0.075,21.6,-1.1249387366083,1.334453751150931
Aves,Charadrius,melodus,Piping plover,0.049,14.0,-1.3098039199714864,1.146128035678238
Aves,Charadrius,mongolus,Lesser sand plover,0.064,15.6,-1.193820026016113,1.1931245983544616
Aves,Charadrius,montanus,Mountain plover,0.1,10.0,-1.0,1.0
Aves,Charadrius,morinellus,Eurasian dotterel,0.1085,11.8,-0.9645702618154517,1.0718820073061255
Aves,Charadrius,ruficapillus,Red-capped plover,0.0412,21.0,-1.3851027839668655,1.3222192947339193
Aves,Charadrius,semipalmatus,Semipalmated plover,0.052,9.2,-1.2839966563652008,0.9637878273455552
Aves,Charadrius,vociferus,Killdeer,0.088,10.9,-1.0555173278498313,1.0374264979406236
Aves,Pluvialis,apricaria,"European golden-plover, or Greater golden-plover",0.214,13.8,-0.6695862266508091,1.1398790864012365
Aves,Pluvialis,dominica,American golden plover,0.118,13.0,-0.9281179926938746,1.1139433523068367
Aves,Pluvialis,fulva,Pacific golden-plover,0.135,21.3,-0.8696662315049939,1.3283796034387378
Aves,Pluvialis,squatarola,Black-bellied plover,0.224,25.6,-0.6497519816658371,1.4082399653118496
Aves,Thinornis,rubricollis,Hooded dotterel,0.1,16.2,-1.0,1.209515014542631
Aves,Vanellus,armatus,Blacksmith lapwing,0.156,18.6,-0.8068754016455384,1.2695129442179163
Aves,Vanellus,miles,Masked lapwing,0.379,13.9,-0.42136079003192767,1.1430148002540952
Aves,Vanellus,spinosus,Spur-winged lapwing,0.188,17.0,-0.7258421507363202,1.2304489213782739
Aves,Vanellus,vanellus,Northern lapwing,0.2185,24.5,-0.6605485586935593,1.3891660843645326
Aves,Glareola,maldivarum,Oriental pratincole,0.076,4.4,-1.1191864077192086,0.6434526764861874
Aves,Haematopus,bachmani,Black oystercatcher,0.67,16.0,-0.17392519729917352,1.2041199826559248
Aves,Haematopus,fuliginosus,Sooty oystercatcher,0.7892,19.9,-0.10281292341984641,1.2988530764097066
Aves,Haematopus,longirostris,Pied oystercatcher,0.56625,30.2,-0.2469917849791117,1.4800069429571505
Aves,Haematopus,ostralegus,Eurasian oystercatcher,0.48,43.3,-0.3187587626244128,1.6364878963533653
Aves,Haematopus,palliatus,American oystercatcher,0.565,17.0,-0.2479515521805615,1.2304489213782739
Aves,Anous,minutus,Black noddy,0.11040000000000001,27.1,-0.9570309266068199,1.4329692908744058
Aves,Anous,stolidus,"Brown noddy, or Noddy tern",0.178,26.2,-0.7495799976911061,1.4183012913197455
Aves,Anous,tenuirostris,Lesser noddy,0.10456,15.0,-0.9806344254275121,1.1760912590556813
Aves,Chlidonias,hybrida,Whiskered tern,0.088,16.0,-1.0555173278498313,1.2041199826559248
Aves,Chlidonias,niger,Black tern,0.06,21.0,-1.2218487496163564,1.3222192947339193
Aves,Chroicocephalus,genei,Slender-billed gull,0.281,31.7,-0.5512936800949201,1.5010592622177514
Aves,Chroicocephalus,novaehollandiae,Silver gull,0.295375,28.8,-0.5296262653595746,1.4593924877592308
Aves,Chroicocephalus,ridibundus,Black-headed gull,0.306,32.9,-0.51427857351842,1.5171958979499742
Aves,Gelochelidon,nilotica,Gull-billed tern,0.221,16.0,-0.6556077263148893,1.2041199826559248
Aves,Gygis,alba,White tern,0.09809999999999999,35.9,-1.0083309926200514,1.5550944485783191
Aves,Hydrocoloeus,minutus,Little gull,0.119,20.9,-0.9244530386074693,1.320146286111054
Aves,Hydroprogne,caspia,Caspian tern,0.644,30.0,-0.19111413264018787,1.4771212547196624
Aves,Ichthyaetus,audouinii,Audouin's gull,0.535,25.0,-0.27164621797877153,1.3979400086720377
Aves,Ichthyaetus,melanocephalus,Mediterranean gull,0.256,22.1,-0.5917600346881504,1.3443922736851108
Aves,Larosterna,inca,Inca tern,0.219,26.0,-0.6595558851598816,1.414973347970818
Aves,Larus,argentatus,Herring gull,1.094,49.0,0.039017321997412,1.6901960800285136
Aves,Larus,cachinnans,Caspian gull,1.1172,31.9,0.048130927028967437,1.503790683057181
Aves,Larus,californicus,California gull,0.691,30.0,-0.1605219526258016,1.4771212547196624
Aves,Larus,canus,Mew gull,0.43060000000000004,33.7,-0.3659259745125316,1.5276299008713388
Aves,Larus,delawarensis,Ring-billed gull,0.5185,31.8,-0.2852512392749403,1.5024271199844328
Aves,Larus,dominicanus,Kelp gull,0.989,27.0,-0.004803708402820599,1.4313637641589874
Aves,Larus,fuscus,Lesser black-backed gull,0.7662,34.9,-0.11565785235294108,1.54282542695918
Aves,Larus,glaucescens,Glaucous-winged gull,0.908,32.0,-0.04191415147891488,1.505149978319906
Aves,Larus,glaucoides,Iceland gull,0.9455,33.0,-0.024338466818941477,1.5185139398778875
Aves,Larus,heermanni,Heermann's gull,0.5,24.0,-0.3010299956639812,1.380211241711606
Aves,Larus,hyperboreus,Glaucous gull,1.21,21.1,0.08278537031645007,1.3242824552976926
Aves,Larus,marinus,Great black-backed gull,1.6585,32.8,0.2197154758555011,1.515873843711679
Aves,Larus,michahellis,Yellow-legged gull,1.0895,19.2,0.03722723458227439,1.2833012287035497
