Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source
Aves,Caprimulgus,carolinensis,Chuck-will's-widow,0.115,14.8,acceptable,wild,AnAge,AnAge
Aves,Caprimulgus,europaeus,Eurasian nightjar,0.067,11.9,acceptable,wild,AnAge,AnAge
Aves,Caprimulgus,ruficollis,Red-necked nightjar,0.0685,13.2,acceptable,wild,AnAge,AnAge
Aves,Caprimulgus,vociferus,Whip-poor-will,0.054,15.0,acceptable,wild,AnAge,AnAge
Aves,Chordeiles,minor,Common nighthawk,0.0793,10.0,acceptable,wild,AnAge,AnAge
Aves,Podargus,strigoides,Tawny frogmouth,0.349,17.9,acceptable,wild,AnAge,AnAge
Aves,Casuarius,bennetti,Dwarf cassowary,35.0,26.0,acceptable,captivity,AnAge,AnAge
Aves,Casuarius,unappendiculatus,Northern cassowary,47.3,22.0,acceptable,captivity,AnAge,AnAge
Aves,Dromaius,novaehollandiae,Emu,38.925,16.6,acceptable,captivity,AnAge,AnAge
Aves,Aethia,cristatella,Crested auklet,0.289,10.8,acceptable,wild,AnAge,AnAge
Aves,Aethia,pusilla,Least auklet,0.096,8.1,acceptable,wild,AnAge,AnAge
Aves,Aethia,pygmaea,Whiskered auklet,0.12,15.0,acceptable,wild,AnAge,AnAge
Aves,Alca,torda,Razorbill,0.726,42.0,acceptable,wild,AnAge,AnAge
Aves,Brachyramphus,marmoratus,Marbled murrelet,0.222,10.0,acceptable,wild,AnAge,AnAge
Aves,Cepphus,columba,Pigeon guillemot,0.4838,15.2,acceptable,wild,AnAge,AnAge
Aves,Cepphus,grylle,Black guillemot,0.4275,29.9,acceptable,wild,AnAge,AnAge
Aves,Cerorhinca,monocerata,Rhinoceros auklet,0.5441,28.2,acceptable,wild,AnAge,AnAge
Aves,Fratercula,arctica,Atlantic puffin,0.4905,45.0,acceptable,wild,AnAge,AnAge
Aves,Ptychoramphus,aleuticus,Cassin's auklet,0.184,16.2,acceptable,wild,AnAge,AnAge
Aves,Synthliboramphus,hypoleucus,Xantus' murrelet,0.167,15.0,acceptable,wild,AnAge,AnAge
Aves,Uria,aalge,Common murre,0.992,42.8,acceptable,wild,AnAge,AnAge
Aves,Uria,lomvia,Thick-billed murre,0.964,29.0,acceptable,wild,AnAge,AnAge
Aves,Burhinus,oedicnemus,Eurasian thick-knee,0.459,17.9,acceptable,wild,AnAge,AnAge
Aves,Charadrius,alexandrinus,Snowy plover,0.037,19.0,acceptable,wild,AnAge,AnAge
Aves,Charadrius,bicinctus,Double-banded plover,0.0594,18.3,acceptable,wild,AnAge,AnAge
Aves,Charadrius,dubius,Little ringed plover,0.038700000000000005,13.0,acceptable,wild,AnAge,AnAge
Aves,Charadrius,hiaticula,Common ringed plover,0.064,20.8,acceptable,wild,AnAge,AnAge
Aves,Charadrius,leschenaultii,Greater sand plover,0.075,21.6,acceptable,wild,AnAge,AnAge
Aves,Charadrius,melodus,Piping plover,0.049,14.0,acceptable,wild,AnAge,AnAge
Aves,Charadrius,mongolus,Lesser sand plover,0.064,15.6,acceptable,wild,AnAge,AnAge
Aves,Charadrius,montanus,Mountain plover,0.1,10.0,acceptable,wild,AnAge,AnAge
Aves,Charadrius,morinellus,Eurasian dotterel,0.1085,11.8,acceptable,wild,AnAge,AnAge
Aves,Charadrius,ruficapillus,Red-capped plover,0.0412,21.0,acceptable,wild,AnAge,AnAge
Aves,Charadrius,semipalmatus,Semipalmated plover,0.052,9.2,acceptable,wild,AnAge,AnAge
Aves,Charadrius,vociferus,Killdeer,0.088,10.9,acceptable,wild,AnAge,AnAge
Aves,Pluvialis,apricaria,"European golden-plover, or Greater golden-plover",0.214,13.8,acceptable,wild,AnAge,AnAge
Aves,Pluvialis,fulva,Pacific golden-plover,0.135,21.3,acceptable,wild,AnAge,AnAge
Aves,Pluvialis,squatarola,Black-bellied plover,0.224,25.6,acceptable,wild,AnAge,AnAge
Aves,Thinornis,rubricollis,Hooded dotterel,0.1,16.2,acceptable,wild,AnAge,AnAge
Aves,Vanellus,armatus,Blacksmith lapwing,0.156,18.6,acceptable,captivity,AnAge,AnAge
Aves,Vanellus,miles,Masked lapwing,0.379,13.9,acceptable,wild,AnAge,AnAge
Aves,Vanellus,spinosus,Spur-winged lapwing,0.188,17.0,acceptable,wild,AnAge,AnAge
Aves,Vanellus,vanellus,Northern lapwing,0.2185,24.5,acceptable,wild,AnAge,AnAge
Aves,Glareola,maldivarum,Oriental pratincole,0.076,4.4,acceptable,wild,AnAge,AnAge
Aves,Haematopus,bachmani,Black oystercatcher,0.67,16.0,acceptable,wild,AnAge,AnAge
Aves,Haematopus,fuliginosus,Sooty oystercatcher,0.7892,19.9,acceptable,wild,AnAge,AnAge
Aves,Haematopus,longirostris,Pied oystercatcher,0.56625,30.2,acceptable,wild,AnAge,AnAge
Aves,Haematopus,ostralegus,Eurasian oystercatcher,0.48,43.3,acceptable,wild,AnAge,AnAge
Aves,Haematopus,palliatus,American oystercatcher,0.565,17.0,acceptable,wild,AnAge,AnAge
Aves,Anous,minutus,Black noddy,0.11040000000000001,27.1,acceptable,wild,AnAge,AnAge
Aves,Anous,stolidus,"Brown noddy, or Noddy tern",0.178,26.2,acceptable,wild,AnAge,AnAge
Aves,Anous,tenuirostris,Lesser noddy,0.10456,15.0,acceptable,wild,AnAge,AnAge
Aves,Chlidonias,hybrida,Whiskered tern,0.088,16.0,acceptable,wild,AnAge,AnAge
Aves,Chlidonias,niger,Black tern,0.06,21.0,acceptable,wild,AnAge,AnAge
Aves,Chroicocephalus,genei,Slender-billed gull,0.281,31.7,acceptable,wild,AnAge,AnAge
Aves,Chroicocephalus,novaehollandiae,Silver gull,0.295375,28.8,acceptable,wild,AnAge,AnAge
Aves,Chroicocephalus,ridibundus,Black-headed gull,0.306,32.9,acceptable,wild,AnAge,AnAge
Aves,Gelochelidon,nilotica,Gull-billed tern,0.221,16.0,acceptable,wild,AnAge,AnAge
Aves,Gygis,alba,White tern,0.09809999999999999,35.9,acceptable,wild,AnAge,AnAge
Aves,Hydrocoloeus,minutus,Little gull,0.119,20.9,acceptable,wild,AnAge,AnAge
Aves,Hydroprogne,caspia,Caspian tern,0.644,30.0,acceptable,wild,AnAge,AnAge
Aves,Ichthyaetus,audouinii,Audouin's gull,0.535,25.0,acceptable,wild,AnAge,AnAge
Aves,Ichthyaetus,melanocephalus,Mediterranean gull,0.256,22.1,acceptable,wild,AnAge,AnAge
Aves,Larosterna,inca,Inca tern,0.219,26.0,acceptable,captivity,AnAge,AnAge
Aves,Larus,argentatus,Herring gull,1.094,49.0,acceptable,unknown,AnAge,AnAge
Aves,Larus,cachinnans,Caspian gull,1.1172,31.9,acceptable,wild,AnAge,AnAge
Aves,Larus,californicus,California gull,0.691,30.0,acceptable,wild,AnAge,AnAge
Aves,Larus,canus,Mew gull,0.43060000000000004,33.7,acceptable,wild,AnAge,AnAge
Aves,Larus,delawarensis,Ring-billed gull,0.5185,31.8,acceptable,wild,AnAge,AnAge
Aves,Larus,dominicanus,Kelp gull,0.989,27.0,acceptable,wild,AnAge,AnAge
Aves,Larus,fuscus,Lesser black-backed gull,0.7662,34.9,acceptable,wild,AnAge,AnAge
Aves,Larus,glaucescens,Glaucous-winged gull,0.908,32.0,acceptable,wild,AnAge,AnAge
Aves,Larus,glaucoides,Iceland gull,0.9455,33.0,acceptable,wild,AnAge,AnAge
Aves,Larus,heermanni,Heermann's gull,0.5,24.0,acceptable,wild,AnAge,AnAge
Aves,Larus,hyperboreus,Glaucous gull,1.21,21.1,acceptable,wild,AnAge,AnAge
Aves,Larus,marinus,Great black-backed gull,1.6585,32.8,acceptable,wild,AnAge,AnAge
Aves,Larus,michahellis,Yellow-legged gull,1.0895,19.2,acceptable,wild,AnAge,AnAge
Aves,Larus,occidentalis,Western gull,0.9315,33.9,acceptable,wild,AnAge,AnAge
Aves,Larus,pacificus,Pacific gull,1.3135,24.3,acceptable,wild,AnAge,AnAge
Aves,Leucophaeus,atricilla,Laughing gull,0.2756,22.0,acceptable,wild,AnAge,AnAge
Aves,Onychoprion,anaethetus,Bridled tern,0.1333,24.9,acceptable,wild,AnAge,AnAge
Aves,Onychoprion,fuscatus,Sooty tern,0.148,35.8,acceptable,wild,AnAge,AnAge
Aves,Onychoprion,lunatus,Gray-backed tern,0.13169999999999998,25.8,acceptable,wild,AnAge,AnAge
Aves,Pagophila,eburnea,Ivory gull,0.55,23.9,acceptable,wild,AnAge,AnAge
Aves,Procelsterna,cerulea,Blue-gray noddy,0.053,15.0,acceptable,wild,AnAge,AnAge
Aves,Rissa,brevirostris,Red-legged kittiwake,0.377,27.0,acceptable,wild,AnAge,AnAge
Aves,Rissa,tridactyla,Black-legged kittiwake,0.317,28.5,acceptable,wild,AnAge,AnAge
Aves,Rynchops,niger,Black skimmer,0.315,20.2,acceptable,wild,AnAge,AnAge
Aves,Sterna,dougallii,Roseate tern,0.112,25.7,acceptable,wild,AnAge,AnAge
Aves,Sterna,forsteri,Forster's tern,0.158,15.8,acceptable,wild,AnAge,AnAge
Aves,Sterna,hirundo,Common tern,0.12,33.0,acceptable,wild,AnAge,AnAge
Aves,Sterna,paradisaea,Arctic tern,0.1,34.0,acceptable,wild,AnAge,AnAge
